"Sales Rank: Current","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Sales Rank: 365 days avg.","Sales Rank: Drops last 30 days","Reviews: Rating","Reviews: Rating Count","ASIN","Brand","Monthly Sales Trends: Monthly Sold (Last Known)"
"17432","14962","13229","24775","2","4","453","B0CDPQXPC1","nexlev","10"
"17432","14388","12153","18934","13","3.9","472","B0CDPMX152","nexlev","100"
"3922","4555","7159","6351","29","3.8","395","B0CDPP45BM","nexlev","200"
"18528","14854","16470","8169","7","3.8","117","B0CDQ98FDM","nexlev","10"
"18528","16200","18146","8537","0","4.4","23","B0CDQ55W2M","nexlev","50"
"18444","15123","17422","8354","2","3.8","117","B0CDQ6G4TC","nexlev","10"
"42559","37126","36129","30973","0","3.8","24","B0CDQ5Y3YB","nexlev",""
"38153","36342","35289","29351","0","3.8","16","B0CDQ5NBH8","nexlev",""
"28824","27742","26831","17344","0","3.4","46","B0CFH6C6YM","nexlev",""
"100599","75129","85699","58901","3","3.8","83","B0CW1JJP9S","nexlev","40"
"30999","28959","28858","26973","0","3.4","9","B0CQ2R3LPH","nexlev",""
"111298","213450","191178","93024","2","3.3","109","B0CQX9ZZMH","nexlev","50"
"135385","129437","126728","56145","0","3.4","20","B0CS69T7HF","nexlev","50"
"133796","130060","126991","54979","0","3.5","19","B0CSG2JZ19","nexlev","10"
"17144","12294","12294","12294","1","4","54","B0CSG3FC4G","nexlev","50"
"152565","150786","117547","48385","0","3.5","328","B0CYSMBCB8","nexlev","200"
"11096","8051","9128","6124","49","3.7","442","B0CYSLCRQS","nexlev","100"
"16113","21106","33652","31695","14","4.1","92","B0D2LHNS9B","nexlev","50"
"72866","70921","53136","26140","0","3.8","154","B0D2LGR3GG","nexlev","50"
"40891","49462","46839","24513","7","3.9","130","B0D2LD6BYJ","nexlev","10"
"21678","14364","12177","16697","15","3.9","472","B0D383WQPB","nexlev","50"
"8980","9298","11062","24589","21","3.9","86","B0D83Q7L8W","nexlev","30"
"115408","106468","104081","51875","2","4.6","13","B0D2LFMY48","nexlev","10"
"50273","93361","87810","47771","4","4","46","B0D2LKB4BJ","nexlev","50"
"8692","11966","11945","8669","11","3.7","106","B0D2LJSQXZ","nexlev","50"
"56493","97575","102749","131894","6","3.7","47","B0D672NXC8","nexlev","10"
"79120","53724","79609","67697","9","4","18","B0D86ZC9YT","nexlev",""
"37579","36324","40410","26486","7","3.9","264","B0D8445KJN","nexlev","30"
"39784","60913","52897","31650","4","4.3","33","B0D63FKYZ5","nexlev","50"
"39784","64170","53811","27555","2","4","134","B0D63DTKQB","nexlev","50"
"35487","23037","24752","42164","4","4.1","48","B0D25LNDSY","nexlev","50"
"123876","117556","107438","65414","0","3.2","22","B0D842173P","nexlev","10"
"84362","60489","79582","58579","5","4","40","B0D81DLSFT","nexlev","20"
"27743","22704","21513","30921","11","2.8","200","B0D9KDQCCM","nexlev","50"
"25131","18480","16696","10126","13","3.8","115","B0D67727VG","nexlev","50"
"16086","13809","12639","6275","0","4.1","102","B0D637B562","nexlev","50"
"15167","12116","10189","17867","13","3.6","258","B0D2P5TGWK","nexlev","50"
"15167","12131","10444","17187","12","3.6","258","B0D2P7WLJB","nexlev","50"
"15040","12903","22961","35062","2","3.7","76","B0D2P6KF4N","nexlev","50"
"45056","22746","23122","43402","7","3.9","41","B0D9KCNVNM","nexlev","10"
"28342","36184","36133","20088","7","4.4","105","B0D9KFZYG8","nexlev","10"
"31133","35588","35208","37057","5","4.2","56","B0D9KFP4MG","nexlev","20"
"18343","19026","18382","15170","11","3.5","147","B0DCK3N2JJ","nexlev","50"
"11099","7999","11320","6668","58","3.8","174","B0DCK7ZH5P","nexlev","100"
"36858","43112","31618","17610","10","4.1","77","B0DCGHKRXX","nexlev","30"
"15932","15504","16702","14605","3","3.6","114","B0D9KFQG8Q","nexlev","10"
"52871","51518","50581","33011","1","3.5","74","B0D9KCKY9F","nexlev","50"
"44358","61449","41366","15381","11","3.6","238","B0DCGHVN81","nexlev","100"
"61190","89408","148362","94231","10","4","47","B0DCK56Q85","nexlev","20"
"58384","36099","31106","15768","5","4","156","B0DFCDKMWR","nexlev","10"
"51646","58640","55556","47780","2","5","3","B0DFM4JZV9","nexlev",""
"84853","83889","101623","66423","6","3.8","24","B0DK9LYT4P","nexlev","10"
"67932","66025","61283","28014","0","3","39","B0DCK7J87D","nexlev","50"
"11398","23293","23293","23293","8","4","54","B0GKNGWLJ2","nexlev",""
"49676","53512","51570","34662","5","3.9","42","B0DCK4DR1B","nexlev","10"
"58384","37523","32011","15931","6","4","156","B0DFCDZWND","nexlev","10"
"48835","61086","55592","38396","2","4","28","B0DJFH6RTL","nexlev","10"
"43366","49024","47547","24794","1","3.8","80","B0DJFH4K8B","nexlev","20"
"43366","47798","47038","25896","2","3.8","80","B0DJFJZMC6","nexlev","20"
"75205","74708","62542","51778","0","4.2","23","B0DDC3GVZW","nexlev","10"
"156852","151997","125433","104507","0","3.8","12","B0DFMRG2K4","nexlev",""
"73921","67296","68957","67961","1","3.6","158","B0DK9NRBWJ","nexlev",""
"121470","335709","280122","198664","1","3.8","26","B0DNJF1BLS","nexlev","20"
"88471","102156","107955","67370","1","3.8","29","B0DK9QNKK8","nexlev",""
"32496","19130","47232","33248","18","3.6","97","B0DFCG2VGS","nexlev","50"
"32496","19166","33408","28400","23","3.8","81","B0DFD123P5","nexlev","50"
"10702","9213","16174","22182","28","4.2","12","B0DT6Y7KJM","nexlev",""
"8980","9065","9876","10199","59","4","103","B0DQCWRG3H","nexlev","100"
"349494","291185","259747","146868","1","3.7","34","B0DKJZDY72","nexlev","10"
"61190","84032","104119","95761","8","3.7","55","B0DKJSCLBD","nexlev","10"
"3920","6122","10842","7613","36","3.5","151","B0DNJS23HS","nexlev","100"
"15932","17021","16619","14651","12","3.6","114","B0DKJXRXKM","nexlev","50"
"254022","246416","241756","197250","0","2.7","5","B0DKK12XWR","nexlev",""
"302029","293950","290398","262089","0","5","3","B0DKJVWM8Q","nexlev",""
"15670","18221","35320","15186","9","3.8","37","B0DKK15YNJ","nexlev","50"
"124535","122295","119165","104087","0","3.5","9","B0DHRQPGGM","nexlev","50"
"5832","29057","32910","14988","13","3.6","57","B0DNJP9T35","nexlev","50"
"11398","21136","21136","21136","12","4","54","B0GLHC8CB3","nexlev",""
"10412","10943","23641","23772","33","3.7","76","B0DM6BB3VT","nexlev","100"
"109503","105815","88881","48480","0","3.4","24","B0DM66B2DW","nexlev","50"
"85263","34987","53717","40741","6","3.4","17","B0F29SZCVF","nexlev","50"
"130988","126957","124865","103173","0","3.8","22","B0DMSMKRD9","nexlev",""
"130988","127416","125016","102586","0","3.8","22","B0DMSSLXST","nexlev","50"
"219434","208226","206954","182923","0","3","7","B0DM6MG4ZH","nexlev",""
"139299","133686","131822","74515","0","2.5","9","B0DMSHZXG2","nexlev","30"
"98426","87458","103431","83537","4","4.3","12","B0DMT19RWC","nexlev","10"
"110732","120065","102765","68214","1","2.8","21","B0DNJHKZ2G","nexlev","10"
"110732","121505","105238","70535","1","2.4","8","B0DNJJKBKG","nexlev",""
"438205","338227","132118","186097","0","3.5","223","B0DRD8J8R5","nexlev","10"
"3922","4563","4604","19876","30","3.9","66","B0F43P6D23","nexlev","100"
"35487","22303","22745","35079","5","4.7","20","B0FJG5PFGQ","nexlev","30"
"110732","119436","103302","68989","1","2.5","24","B0DV8XH455","nexlev","10"
"39784","60685","50048","27046","2","4","133","B0DV9MYK6S","nexlev","10"
"134936","226094","226474","258064","2","","","B0DV91JGF1","nexlev",""
"18528","14590","17165","8181","3","3.8","117","B0DVCBR11D","nexlev","10"
"18436","15317","17534","8332","3","3.8","117","B0DVCDD5VC","nexlev",""
"43006","40778","38890","60237","11","3.9","68","B0DVC7VJP1","nexlev","50"
"35113","52041","67557","43729","10","3.9","83","B0DVC968P1","nexlev","10"
"35113","50816","67719","40444","11","3.8","85","B0DVC8NYY2","nexlev","50"
"193411","94198","93201","212700","5","5","2","B0DVC9PRSD","nexlev",""
"1638242","1584800","1572353","1490504","0","5","2","B0DVC9Q219","nexlev",""
