"Sales Rank: Current","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Sales Rank: 365 days avg.","Sales Rank: Drops last 30 days","Reviews: Rating","Reviews: Rating Count","ASIN","Brand","Monthly Sales Trends: Monthly Sold (Last Known)"
"139540","70149","32224","20718","7","4.6","712","B0CPFS24ML","White Mulberry","100"
"41798","41912","36825","21942","9","4.3","412","B0BFWD6SNF","White Mulberry","10"
"38529","38626","35256","21662","10","4.4","124","B0BFW59TRG","White Mulberry","10"
"38529","39055","35364","21541","12","3.9","207","B0BFVMDJ2K","White Mulberry","10"
"41798","38186","35448","21514","10","3.8","64","B0BFVNS8HS","White Mulberry","10"
"","","","","0","","","B0DQPFL835","White Mulberry",""
"41798","37711","34353","21567","4","4.2","842","B0DQPK7MFH","White Mulberry","10"
"41798","36216","28494","20240","1","4.3","808","B0DQPLMQQ7","White Mulberry","10"
"41798","39967","37299","22079","1","4.3","804","B0DQPGLK2T","White Mulberry","10"
"72929","201861","141301","143781","0","4.5","239","B0BF4T7SWK","White Mulberry",""
"41798","39431","34083","44045","5","4.3","24","B0CPT2YJX2","White Mulberry",""
"72929","164937","135222","113126","1","4.5","237","B0BF4S7V8C","White Mulberry","10"
"681789","470375","567670","571074","1","4.5","19","B0BMV1WPHL","White Mulberry",""
"72929","138228","99485","105875","1","4.7","125","B0CPT25SD8","White Mulberry","10"
"143140","69631","72900","76838","0","4.5","122","B0BF4TKQKN","White Mulberry",""
"143140","59984","68227","76750","0","4.5","121","B0BF4VRJJ1","White Mulberry",""
"143140","142814","92645","77857","1","4.5","377","B0DC3JRBW1","White Mulberry",""
"143140","88981","101174","78693","0","4.3","209","B0CPT34B2L","White Mulberry",""
"143140","91785","79221","73879","3","4.3","209","B0CPT2NY5M","White Mulberry",""
"100743","97453","86875","73488","9","4.3","208","B0CPT3Q25C","White Mulberry","10"
"363232","349746","290038","205934","0","4.4","45","B0CPFN27Z2","White Mulberry","10"
"363232","352511","318059","212494","0","4.4","45","B0CPFPT6DZ","White Mulberry","10"
"363232","317360","312730","214332","0","4.4","45","B0DC3SJMZ6","White Mulberry",""
"363232","332526","323364","205020","0","4.4","45","B0DC3NPKGF","White Mulberry",""
"","","","112460","0","1","1","B0CPFP9ZL4","White Mulberry",""
"72929","171430","137092","110046","3","4.5","240","B0DQ1PKNSP","White Mulberry",""
"72929","178308","147062","114222","3","4.5","240","B0DQ1NV8D2","White Mulberry","10"
"143140","82281","77908","72644","1","4.3","205","B0DQ4ZK2WQ","White Mulberry","10"
"143140","88969","83346","73696","1","4.4","204","B0DQ51R95T","White Mulberry","10"
"143140","98265","84982","75259","8","4.3","208","B0DQ4YWSMC","White Mulberry","10"
"","","","","0","","","B0DSG2BD4H","White Mulberry",""
"","","","","0","","","B0DSG5PX7M","White Mulberry",""
"","","","","0","","","B0DSG4F8D9","White Mulberry",""
"","","","","0","","","B0DSG694P2","White Mulberry",""
"2787","2574","4930","3937","31","4.3","65","B0DP2WC5VW","White Mulberry","100"
"17667","8667","5194","3959","11","4.3","53","B0DP2VVRND","White Mulberry","50"
"17667","8635","5047","5064","5","4.1","11","B0DP313R77","White Mulberry",""
"17667","8644","5037","7040","16","4.4","27","B0DP2Z5DQ9","White Mulberry","30"
"47415","38343","31548","27636","2","3.3","18","B0DP3194QN","White Mulberry",""
"2016","1825","4320","8652","24","4.4","30","B0DP32F346","White Mulberry","50"
"5609","5069","5942","20100","33","4.4","79","B0DB5VG39T","White Mulberry","50"
"2281","1866","2139","5547","23","4.4","28","B0DB5VVPSB","White Mulberry","50"
"2016","1819","2137","2519","38","4.4","72","B0DB5W4TCP","White Mulberry","50"
"2016","1836","2076","2800","58","4.3","35","B0DB5YTQZV","White Mulberry","50"
"2015","2203","2386","2386","6","5","2","B0FN81FD8M","White Mulberry",""
"6456","4943","6245","11804","1","4.5","225","B0FN4JG97R","White Mulberry",""
"416802","485381","533941","510668","1","5","6","B0FN4FHH5Y","White Mulberry",""
"416802","435581","500322","482370","1","5","6","B0FN4HDBN5","White Mulberry",""
"27351","21999","25574","22173","9","5","6","B0FN4FPJ83","White Mulberry","10"
"4342","4266","5626","12702","10","3.4","9","B0FN4HDM6Z","White Mulberry","10"
"4342","4442","5718","13038","27","4.4","19","B0FN4GQ9HT","White Mulberry","30"
"4342","4313","5663","13426","52","4.2","99","B0FN4D3C89","White Mulberry","50"
"4342","4309","5448","10011","57","4.2","99","B0FN4DSQ6P","White Mulberry","200"
"4362","4359","5652","4971","26","4.2","99","B0FHVWHQHR","White Mulberry","20"
"","2228399","2228399","1158276","0","3.5","56","B0B65XBXKY","White Mulberry","50"
"437239","367459","366218","312597","0","3.5","79","B0B68B17RT","White Mulberry",""
"437239","371160","367451","318446","0","3.7","85","B0B689CVJW","White Mulberry",""
"","2256608","2256608","1269392","0","3.7","27","B0B688NL1N","White Mulberry","50"
"437239","367459","366218","307071","0","3.5","79","B0B68BJCL5","White Mulberry",""
"775602","734396","733653","574477","0","3.7","29","B0B68DWHMR","White Mulberry",""
"437239","367459","366218","311241","0","3.5","79","B0B68FKVC1","White Mulberry",""
"775602","734396","733653","554967","0","3.7","29","B0B6ZP6XK7","White Mulberry",""
"775602","734396","733653","557375","0","3.8","32","B0B68DCXS5","White Mulberry",""
"","","","1501521","0","3.7","17","B0B68GMXR9","White Mulberry",""
"764631","652432","650474","484592","0","3.7","43","B0B68HQVXW","White Mulberry",""
"764631","652432","650474","492440","0","3.7","45","B0BFBMCTXQ","White Mulberry",""
"764631","652432","650474","463599","0","3.7","45","B0BFBLLZJG","White Mulberry",""
"","","","","0","3.1","3","B0BFDW7HY5","White Mulberry",""
"","","","1040025","0","4.7","6","B0BFF9KB2T","White Mulberry",""
"716064","679196","669851","509382","0","4.2","8","B0BFFD156C","White Mulberry",""
"676923","635947","635203","579446","0","3.6","7","B0BLVB8VTH","White Mulberry",""
"1715032","1409546","1404289","809604","0","4.3","15","B0BJZNQYVB","White Mulberry",""
"775602","748748","743754","715607","0","3.7","29","B0BNDYQ5ZR","White Mulberry",""
"","","","","0","2.9","6","B0BNDY71BZ","White Mulberry",""
"143140","58488","71385","743336","1","4.3","209","B0BMQQQ7YD","White Mulberry",""
"","","","1744412","0","5","1","B0BFW5K3F1","White Mulberry",""
"","","","983950","0","4.5","6748","B07MH7L6G8","Coleshome",""
"","","","1786284","0","5","1","B0CBJX85Q2","White Mulberry",""
"","","","2684355","0","","","B0CBJX8WGY","White Mulberry",""
"","","","1905347","0","4.5","2","B0CBJZGW7X","White Mulberry",""
"","","","2214436","0","3.5","5","B0BF4VWQXG","White Mulberry",""
"","","","","0","3","1","B0BF4WD8Z8","White Mulberry",""
"","","","1152972","0","2.1","5","B0BF51HCY4","White Mulberry",""
"","","","1196040","0","4.6","4","B0BF4XF7SD","White Mulberry",""
"","","","1121033","0","3","18","B0BF4Y92MW","White Mulberry",""
"","","","1818158","0","2.6","4","B0BF4WQNJR","White Mulberry",""
"","","","2990665","0","","","B0CGF7HXXL","White Mulberry",""
"","","","2953085","0","","","B0CGF52WWF","White Mulberry",""
"","","","","0","","","B0CGF82HTJ","White Mulberry",""
"","","","","0","","","B0CGF7MQMF","White Mulberry",""
